Fecha,Precio
12/12/2022,1.94
11/12/2022,1.94
10/12/2022,1.94
9/12/2022,1.92
8/12/2022,1.94
7/12/2022,2.08
6/12/2022,2.08
5/12/2022,2.11
4/12/2022,2.33
3/12/2022,2.33
2/12/2022,2.56
1/12/2022,3.44
30/11/2022,3.39
29/11/2022,3.39
28/11/2022,3.44
27/11/2022,3.39
26/11/2022,3.39
25/11/2022,3.22
24/11/2022,3.17
23/11/2022,3.22
22/11/2022,3.22
21/11/2022,2.83
20/11/2022,2.83
19/11/2022,2.83
18/11/2022,2.78
17/11/2022,4.08
16/11/2022,4.06
15/11/2022,4.06
14/11/2022,4.11
13/11/2022,4.17
12/11/2022,4.17
11/11/2022,4.06
10/11/2022,3.83
9/11/2022,3.86
8/11/2022,3.86
7/11/2022,3.94
6/11/2022,3.83
5/11/2022,3.83
4/11/2022,3.89
3/11/2022,3.94
2/11/2022,3.89
1/11/2022,3.89
31/10/2022,3.72
30/10/2022,3.72
29/10/2022,3.72
28/10/2022,4.11
27/10/2022,4.39
26/10/2022,4.33
25/10/2022,4.33
24/10/2022,4.83
23/10/2022,4.83
22/10/2022,4.83
21/10/2022,4.56
20/10/2022,4.5
19/10/2022,4.5
18/10/2022,4.5
17/10/2022,4.5
16/10/2022,4.33
15/10/2022,4.33
14/10/2022,4.03
13/10/2022,4.06
12/10/2022,4.08
11/10/2022,4.08
10/10/2022,4.11
9/10/2022,4.06
8/10/2022,4.06
7/10/2022,4.11
6/10/2022,4.06
5/10/2022,4.06
4/10/2022,4.06
3/10/2022,3.83
2/10/2022,3.72
1/10/2022,3.72
30/09/2022,3.89
29/09/2022,4.06
28/09/2022,4.11
27/09/2022,4.11
26/09/2022,4.17
25/09/2022,4.11
24/09/2022,4.11
23/09/2022,4.08
22/09/2022,4.11
21/09/2022,4.11
20/09/2022,4.11
19/09/2022,3.89
18/09/2022,3.67
17/09/2022,3.67
16/09/2022,3.5
15/09/2022,3.44
14/09/2022,3.44
13/09/2022,3.44
12/09/2022,3.28
11/09/2022,3.22
10/09/2022,3.22
9/09/2022,3.17
8/09/2022,3.19
7/09/2022,3.17
6/09/2022,3.17
5/09/2022,3.25
4/09/2022,3.19
3/09/2022,3.19
2/09/2022,3.17
1/09/2022,3.22
31/08/2022,3.28
30/08/2022,3.28
29/08/2022,3.28
28/08/2022,3.22
27/08/2022,3.22
26/08/2022,3.17
25/08/2022,3.22
24/08/2022,3.06
23/08/2022,3.06
22/08/2022,2.78
21/08/2022,2.83
20/08/2022,2.83
19/08/2022,2.72
18/08/2022,2.78
17/08/2022,2.72
16/08/2022,2.72
15/08/2022,2.33
14/08/2022,2.28
13/08/2022,2.28
12/08/2022,2.33
11/08/2022,2.61
10/08/2022,2.56
9/08/2022,2.56
8/08/2022,2.28
7/08/2022,2.14
6/08/2022,2.14
5/08/2022,2.08
4/08/2022,1.92
3/08/2022,1.86
2/08/2022,1.86
1/08/2022,1.94
31/07/2022,1.92
30/07/2022,1.92
29/07/2022,1.94
28/07/2022,1.92
27/07/2022,1.89
26/07/2022,1.89
25/07/2022,1.92
24/07/2022,1.86
23/07/2022,1.86
22/07/2022,1.72
21/07/2022,1.89
20/07/2022,2
19/07/2022,2
18/07/2022,1.83
17/07/2022,1.75
16/07/2022,1.75
15/07/2022,1.61
14/07/2022,1.42
13/07/2022,1.47
12/07/2022,1.47
11/07/2022,1.69
10/07/2022,1.67
9/07/2022,1.67
8/07/2022,1.61
7/07/2022,1.64
6/07/2022,1.61
5/07/2022,1.61
4/07/2022,1.44
3/07/2022,1.42
2/07/2022,1.44
1/07/2022,1.54
30/06/2022,1.56
29/06/2022,1.61
28/06/2022,1.64
27/06/2022,2.11
26/06/2022,2.33
25/06/2022,2.17
24/06/2022,1.83
23/06/2022,1.44
22/06/2022,1.5
21/06/2022,1.5
20/06/2022,1.47
19/06/2022,1.47
18/06/2022,1.47
17/06/2022,1.42
16/06/2022,1.58
15/06/2022,1.53
14/06/2022,1.53
13/06/2022,1.56
12/06/2022,1.33
11/06/2022,1.33
10/06/2022,1.33
9/06/2022,1.47
8/06/2022,1.44
7/06/2022,1.44
6/06/2022,1.36
5/06/2022,1.31
4/06/2022,1.31
3/06/2022,1.17
2/06/2022,1.19
1/06/2022,1.11
31/05/2022,1.11
30/05/2022,1.03
29/05/2022,1.08
28/05/2022,1.08
27/05/2022,1.11
26/05/2022,1.19
25/05/2022,1.22
24/05/2022,1.22
23/05/2022,1.14
22/05/2022,1.14
21/05/2022,1.14
20/05/2022,1.11
19/05/2022,1.03
18/05/2022,1.06
17/05/2022,1.06
16/05/2022,1.03
15/05/2022,1.11
14/05/2022,1.11
13/05/2022,1.32
12/05/2022,1.33
11/05/2022,1.22
10/05/2022,1.22
9/05/2022,1.42
8/05/2022,1.44
7/05/2022,1.44
6/05/2022,1.47
5/05/2022,1.42
4/05/2022,1.31
3/05/2022,1.31
2/05/2022,1.11
1/05/2022,1.11
30/04/2022,1.11
29/04/2022,1.19
28/04/2022,1.14
27/04/2022,1.14
26/04/2022,1.14
25/04/2022,1.17
24/04/2022,1.19
23/04/2022,1.19
22/04/2022,1.25
21/04/2022,1.56
20/04/2022,1.53
19/04/2022,1.53
18/04/2022,1.56
17/04/2022,1.33
16/04/2022,1.33
15/04/2022,1.53
14/04/2022,1.53
13/04/2022,1.53
12/04/2022,1.53
11/04/2022,1.89
10/04/2022,1.89
9/04/2022,1.89
8/04/2022,1.92
7/04/2022,1.86
6/04/2022,1.92
5/04/2022,1.92
4/04/2022,1.92
3/04/2022,2.33
2/04/2022,2.33
1/04/2022,2.36
31/03/2022,2.28
30/03/2022,1.42
29/03/2022,1.42
28/03/2022,1.44
27/03/2022,1.47
26/03/2022,1.47
25/03/2022,1.47
24/03/2022,1.47
23/03/2022,1.42
22/03/2022,1.42
21/03/2022,1.28
20/03/2022,1.25
19/03/2022,1.25
18/03/2022,1.25
17/03/2022,1.25
16/03/2022,1.25
15/03/2022,1.25
14/03/2022,1.28
13/03/2022,1.22
12/03/2022,1.22
11/03/2022,1.22
10/03/2022,1.17
9/03/2022,1.19
8/03/2022,1.19
7/03/2022,1.25
6/03/2022,1.22
5/03/2022,1.22
4/03/2022,1.22
3/03/2022,1.17
2/03/2022,1.22
1/03/2022,1.22
28/02/2022,1.25
27/02/2022,1.22
26/02/2022,1.22
25/02/2022,1.19
24/02/2022,1.19
23/02/2022,1.17
22/02/2022,1.17
21/02/2022,1.19
20/02/2022,1.17
19/02/2022,1.17
18/02/2022,1.14
17/02/2022,1.14
16/02/2022,1.14
15/02/2022,1.14
14/02/2022,1.17
13/02/2022,1.14
12/02/2022,1.14
11/02/2022,1.14
10/02/2022,1.17
9/02/2022,1.22
8/02/2022,1.22
7/02/2022,1.28
6/02/2022,1.25
5/02/2022,1.25
4/02/2022,1.25
3/02/2022,1.19
2/02/2022,1.19
1/02/2022,1.19
31/01/2022,1.25
30/01/2022,1.22
29/01/2022,1.22
28/01/2022,1.22
27/01/2022,1.19
26/01/2022,1.22
25/01/2022,1.22
24/01/2022,1.28
23/01/2022,1.22
22/01/2022,1.22
21/01/2022,1.17
20/01/2022,1.19
19/01/2022,1.22
18/01/2022,1.22
17/01/2022,1.22
16/01/2022,1.19
15/01/2022,1.19
14/01/2022,1.22
13/01/2022,1.25
12/01/2022,1.22
11/01/2022,1.22
10/01/2022,1.25
9/01/2022,1.25
8/01/2022,1.25
7/01/2022,1.25
6/01/2022,1.25
5/01/2022,1.22
4/01/2022,1.22
3/01/2022,1.25
2/01/2022,1.19
1/01/2022,1.19
12/12/2021,1.39
11/12/2021,1.39
10/12/2021,1.39
9/12/2021,1.31
8/12/2021,1.31
7/12/2021,1.31
6/12/2021,1.33
5/12/2021,1.47
4/12/2021,1.47
3/12/2021,1.47
2/12/2021,1.47
1/12/2021,1.56
30/11/2021,1.56
29/11/2021,1.67
28/11/2021,1.66
27/11/2021,1.66
26/11/2021,1.67
25/11/2021,1.67
24/11/2021,1.67
23/11/2021,1.67
22/11/2021,1.67
21/11/2021,1.61
20/11/2021,1.61
19/11/2021,1.56
18/11/2021,1.56
17/11/2021,1.56
16/11/2021,1.56
15/11/2021,1.56
14/11/2021,1.44
13/11/2021,1.44
12/11/2021,1.56
11/11/2021,1.56
10/11/2021,1.69
9/11/2021,1.69
8/11/2021,1.72
7/11/2021,1.64
6/11/2021,1.64
5/11/2021,1.61
4/11/2021,1.61
3/11/2021,1.67
2/11/2021,1.67
1/11/2021,2.11
31/10/2021,2.11
30/10/2021,2.11
29/10/2021,2.14
28/10/2021,2.28
27/10/2021,2.28
26/10/2021,2.28
25/10/2021,2.33
24/10/2021,2.5
23/10/2021,2.5
22/10/2021,2.5
21/10/2021,2.5
20/10/2021,2.56
19/10/2021,2.56
18/10/2021,2.56
17/10/2021,2.5
16/10/2021,2.5
15/10/2021,2.36
14/10/2021,2.56
13/10/2021,2.5
12/10/2021,2.5
11/10/2021,2.56
10/10/2021,2.61
9/10/2021,2.61
8/10/2021,2.61
7/10/2021,2.61
6/10/2021,2.56
5/10/2021,2.56
4/10/2021,2.61
3/10/2021,2.56
2/10/2021,2.56
1/10/2021,2.58
30/09/2021,2.56
29/09/2021,2.56
28/09/2021,2.56
27/09/2021,2.5
26/09/2021,2.5
25/09/2021,2.5
24/09/2021,2.5
23/09/2021,2.5
22/09/2021,2.56
21/09/2021,2.56
20/09/2021,2.61
19/09/2021,2.58
18/09/2021,2.58
17/09/2021,2.58
16/09/2021,2.56
15/09/2021,2.5
14/09/2021,2.5
13/09/2021,2.5
12/09/2021,2.28
11/09/2021,2.28
10/09/2021,2.28
9/09/2021,2.17
8/09/2021,2
7/09/2021,2
6/09/2021,1.78
5/09/2021,1.69
4/09/2021,1.69
3/09/2021,1.47
2/09/2021,1.44
1/09/2021,1.42
31/08/2021,1.42
30/08/2021,1.33
29/08/2021,1.33
28/08/2021,1.33
27/08/2021,1.33
26/08/2021,1.36
25/08/2021,1.33
24/08/2021,1.33
23/08/2021,1.31
22/08/2021,1.25
21/08/2021,1.25
20/08/2021,1.25
19/08/2021,1.19
18/08/2021,1.22
17/08/2021,1.22
16/08/2021,1.35
15/08/2021,1.33
14/08/2021,1.33
13/08/2021,1.33
12/08/2021,1.31
11/08/2021,1.33
10/08/2021,1.33
9/08/2021,1.32
8/08/2021,1.31
7/08/2021,1.31
6/08/2021,1.31
5/08/2021,1.33
4/08/2021,1.36
3/08/2021,1.36
2/08/2021,1.31
1/08/2021,1.33
31/07/2021,1.33
30/07/2021,1.36
29/07/2021,1.33
28/07/2021,1.33
27/07/2021,1.33
26/07/2021,1.33
25/07/2021,1.31
24/07/2021,1.31
23/07/2021,1.31
22/07/2021,1.33
21/07/2021,1.43
20/07/2021,1.43
19/07/2021,1.44
18/07/2021,1.47
17/07/2021,1.47
16/07/2021,1.5
15/07/2021,1.53
14/07/2021,1.5
13/07/2021,1.5
12/07/2021,1.47
11/07/2021,1.39
10/07/2021,1.39
9/07/2021,1.39
8/07/2021,1.39
7/07/2021,1.41
6/07/2021,1.41
5/07/2021,1.42
4/07/2021,1.41
3/07/2021,1.41
2/07/2021,1.41
1/07/2021,1.41
30/06/2021,1.36
29/06/2021,1.36
28/06/2021,1.29
27/06/2021,1.27
26/06/2021,1.27
25/06/2021,1.27
24/06/2021,1.27
23/06/2021,1.25
22/06/2021,1.25
21/06/2021,1.19
20/06/2021,1.17
19/06/2021,1.17
18/06/2021,1.17
17/06/2021,1.19
16/06/2021,1.17
15/06/2021,1.17
14/06/2021,1.18
13/06/2021,1.16
12/06/2021,1.16
11/06/2021,1.12
10/06/2021,1.04
9/06/2021,1.06
8/06/2021,1.06
7/06/2021,1.03
6/06/2021,0.97
5/06/2021,0.97
4/06/2021,0.96
3/06/2021,0.93
2/06/2021,0.94
1/06/2021,0.94
31/05/2021,0.92
30/05/2021,0.89
29/05/2021,0.89
28/05/2021,0.92
27/05/2021,0.92
26/05/2021,0.97
25/05/2021,0.97
24/05/2021,1.06
23/05/2021,1.08
22/05/2021,1.08
21/05/2021,1.08
20/05/2021,1.03
19/05/2021,0.94
18/05/2021,0.94
17/05/2021,1.03
16/05/2021,1.11
15/05/2021,1.11
14/05/2021,1.11
13/05/2021,1.11
12/05/2021,1.08
11/05/2021,1.08
10/05/2021,1.06
9/05/2021,1.07
8/05/2021,1.07
7/05/2021,1.06
6/05/2021,1.06
5/05/2021,1.14
4/05/2021,1.14
3/05/2021,1.25
2/05/2021,1.42
1/05/2021,1.42
30/04/2021,1.42
29/04/2021,1.42
28/04/2021,1.33
27/04/2021,1.33
26/04/2021,1.5
25/04/2021,1.47
24/04/2021,1.47
23/04/2021,1.39
22/04/2021,1.42
21/04/2021,1.44
20/04/2021,1.44
19/04/2021,1.42
18/04/2021,1.42
17/04/2021,1.42
16/04/2021,1.42
15/04/2021,1.44
14/04/2021,1.47
13/04/2021,1.47
12/04/2021,1.44
11/04/2021,1.47
10/04/2021,1.47
9/04/2021,1.42
8/04/2021,1.47
7/04/2021,1.47
6/04/2021,1.47
5/04/2021,1.5
4/04/2021,1.47
3/04/2021,1.47
2/04/2021,1.47
1/04/2021,1.44
31/03/2021,1.47
30/03/2021,1.47
29/03/2021,1.56
28/03/2021,1.53
27/03/2021,1.53
26/03/2021,1.58
25/03/2021,1.54
24/03/2021,1.53
23/03/2021,1.53
22/03/2021,1.58
21/03/2021,1.75
20/03/2021,1.75
19/03/2021,1.64
18/03/2021,1.53
17/03/2021,1.47
16/03/2021,1.47
15/03/2021,1.41
14/03/2021,1.39
13/03/2021,1.39
12/03/2021,1.36
11/03/2021,1.31
10/03/2021,1.28
9/03/2021,1.28
8/03/2021,1.22
7/03/2021,1.19
6/03/2021,1.19
5/03/2021,1.17
4/03/2021,1.17
3/03/2021,1.11
2/03/2021,1.11
1/03/2021,1.03
28/02/2021,1.06
27/02/2021,1.06
26/02/2021,1.03
25/02/2021,1
24/02/2021,0.97
23/02/2021,0.97
22/02/2021,0.94
21/02/2021,0.97
20/02/2021,0.97
19/02/2021,1
18/02/2021,0.92
17/02/2021,0.89
16/02/2021,0.89
15/02/2021,0.89
14/02/2021,0.92
13/02/2021,0.92
12/02/2021,0.94
11/02/2021,0.86
10/02/2021,0.83
9/02/2021,0.83
8/02/2021,0.92
7/02/2021,0.94
6/02/2021,0.94
5/02/2021,1.08
4/02/2021,1.19
3/02/2021,1.31
2/02/2021,1.31
1/02/2021,1.44
31/01/2021,1.33
30/01/2021,1.33
29/01/2021,1.32
28/01/2021,1.31
27/01/2021,1.31
26/01/2021,1.31
25/01/2021,1.19
24/01/2021,1.17
23/01/2021,1.17
22/01/2021,1.19
21/01/2021,1.19
20/01/2021,1.22
19/01/2021,1.22
18/01/2021,1.19
17/01/2021,1.28
16/01/2021,1.28
15/01/2021,1.42
14/01/2021,1.5
13/01/2021,1.64
12/01/2021,1.64
11/01/2021,1.75
10/01/2021,1.78
9/01/2021,1.78
8/01/2021,1.86
7/01/2021,1.83
6/01/2021,1.86
5/01/2021,1.86
4/01/2021,1.89
3/01/2021,1.81
2/01/2021,1.81
1/01/2021,2
12/12/2020,2.17
11/12/2020,2.28
10/12/2020,2.33
9/12/2020,2.39
8/12/2020,2.39
7/12/2020,2.33
6/12/2020,2.33
5/12/2020,2.33
4/12/2020,2.11
3/12/2020,2.11
2/12/2020,2.06
1/12/2020,2.06
30/11/2020,2.11
29/11/2020,2.06
28/11/2020,2.06
27/11/2020,2.06
26/11/2020,2.06
25/11/2020,2.11
24/11/2020,2.11
23/11/2020,2.28
22/11/2020,2.33
21/11/2020,2.33
20/11/2020,2.31
19/11/2020,2.36
18/11/2020,2.31
17/11/2020,2.31
16/11/2020,2.33
15/11/2020,2.39
14/11/2020,2.39
13/11/2020,2.39
12/11/2020,2.33
11/11/2020,2.39
10/11/2020,2.39
9/11/2020,2.5
8/11/2020,2.36
7/11/2020,2.36
6/11/2020,2.36
5/11/2020,2.33
4/11/2020,2.28
3/11/2020,2.28
2/11/2020,2.33
1/11/2020,2.39
31/10/2020,2.39
30/10/2020,2.39
29/10/2020,2.33
28/10/2020,2.28
27/10/2020,2.28
26/10/2020,2.33
25/10/2020,2.39
24/10/2020,2.39
23/10/2020,2.39
22/10/2020,2.39
21/10/2020,2.33
20/10/2020,2.33
19/10/2020,2.39
18/10/2020,2.39
17/10/2020,2.39
16/10/2020,2.33
15/10/2020,2.28
14/10/2020,2.33
13/10/2020,2.33
12/10/2020,2.28
11/10/2020,2.33
10/10/2020,2.33
9/10/2020,2.33
8/10/2020,2.39
7/10/2020,2.33
6/10/2020,2.33
5/10/2020,2.28
4/10/2020,2.17
3/10/2020,2.17
2/10/2020,2.17
1/10/2020,2.17
30/09/2020,2.17
29/09/2020,2.17
28/09/2020,2.14
27/09/2020,2.14
26/09/2020,2.14
25/09/2020,2.17
24/09/2020,2.17
23/09/2020,2.11
22/09/2020,2.11
21/09/2020,2.08
20/09/2020,1.94
19/09/2020,1.94
18/09/2020,1.86
17/09/2020,1.83
16/09/2020,1.61
15/09/2020,1.61
14/09/2020,1.67
13/09/2020,1.83
12/09/2020,1.83
11/09/2020,1.86
10/09/2020,1.86
9/09/2020,1.92
8/09/2020,1.92
7/09/2020,2.06
6/09/2020,2.08
5/09/2020,2.08
4/09/2020,2.08
3/09/2020,2.08
2/09/2020,2.11
1/09/2020,2.11
31/08/2020,2.08
30/08/2020,2.17
29/08/2020,2.17
28/08/2020,2.14
27/08/2020,2.14
26/08/2020,2.11
25/08/2020,2.11
24/08/2020,2.08
23/08/2020,1.94
22/08/2020,1.94
21/08/2020,1.94
20/08/2020,2.08
19/08/2020,2.06
18/08/2020,2.06
17/08/2020,2.17
16/08/2020,2.19
15/08/2020,2.19
14/08/2020,2.17
13/08/2020,2.06
12/08/2020,2.08
11/08/2020,2.08
10/08/2020,2.06
9/08/2020,2.06
8/08/2020,2.06
7/08/2020,2.06
6/08/2020,1.94
5/08/2020,1.94
4/08/2020,1.94
3/08/2020,1.83
2/08/2020,1.83
1/08/2020,1.83
31/07/2020,1.83
30/07/2020,1.94
29/07/2020,1.83
28/07/2020,1.61
27/07/2020,1.61
26/07/2020,1.42
25/07/2020,1.42
24/07/2020,1.42
23/07/2020,1.39
22/07/2020,1.64
21/07/2020,1.64
20/07/2020,1.64
19/07/2020,1.64
18/07/2020,1.64
17/07/2020,1.61
16/07/2020,1.61
15/07/2020,1.61
14/07/2020,1.61
13/07/2020,1.29
12/07/2020,1.28
11/07/2020,1.28
10/07/2020,1.5
9/07/2020,1.61
8/07/2020,1.64
7/07/2020,1.64
6/07/2020,1.61
5/07/2020,1.61
4/07/2020,1.61
3/07/2020,1.61
2/07/2020,1.5
1/07/2020,1.39
30/06/2020,1.28
29/06/2020,1.36
28/06/2020,1.28
27/06/2020,1.28
26/06/2020,1.28
25/06/2020,1.28
24/06/2020,1.25
23/06/2020,1.25
22/06/2020,1.19
21/06/2020,1.17
20/06/2020,1.17
19/06/2020,1.17
18/06/2020,1.14
17/06/2020,1.08
16/06/2020,1.08
15/06/2020,1.03
14/06/2020,1.03
13/06/2020,1.03
12/06/2020,1.03
11/06/2020,1.03
10/06/2020,1.06
9/06/2020,1.06
8/06/2020,1.08
7/06/2020,1.14
6/06/2020,1.14
5/06/2020,1.14
4/06/2020,1.17
3/06/2020,1.19
2/06/2020,1.19
1/06/2020,1.17
31/05/2020,1.06
30/05/2020,1.06
29/05/2020,1.17
28/05/2020,1.06
27/05/2020,1.06
26/05/2020,0.94
25/05/2020,1.06
24/05/2020,1.06
23/05/2020,1.06
22/05/2020,1.08
21/05/2020,1.06
20/05/2020,0.94
19/05/2020,0.97
18/05/2020,0.94
17/05/2020,1.06
16/05/2020,1.06
15/05/2020,1.17
14/05/2020,1.06
13/05/2020,0.97
12/05/2020,0.94
11/05/2020,0.81
10/05/2020,0.83
9/05/2020,0.83
8/05/2020,0.92
7/05/2020,0.94
6/05/2020,0.83
5/05/2020,0.97
4/05/2020,1.06
3/05/2020,0.92
2/05/2020,0.92
1/05/2020,0.94
30/04/2020,0.94
29/04/2020,0.94
28/04/2020,0.83
27/04/2020,0.83
26/04/2020,1.06
25/04/2020,1.06
24/04/2020,1.06
23/04/2020,1.06
22/04/2020,0.94
21/04/2020,0.94
20/04/2020,0.94
19/04/2020,0.94
18/04/2020,0.94
17/04/2020,1.17
16/04/2020,1.28
15/04/2020,1.67
14/04/2020,2.56
13/04/2020,1.39
12/04/2020,1.08
11/04/2020,1.08
10/04/2020,0.72
9/04/2020,0.72
8/04/2020,0.72
7/04/2020,0.72
6/04/2020,0.83
5/04/2020,0.72
4/04/2020,0.72
3/04/2020,0.83
2/04/2020,0.94
1/04/2020,0.94
31/03/2020,0.94
30/03/2020,1.06
29/03/2020,0.94
28/03/2020,0.86
27/03/2020,0.83
26/03/2020,0.72
25/03/2020,0.72
24/03/2020,0.72
23/03/2020,0.92
22/03/2020,0.94
21/03/2020,1.06
20/03/2020,1.39
19/03/2020,1.81
18/03/2020,3.39
17/03/2020,2.78
16/03/2020,2.28
15/03/2020,1.72
14/03/2020,1.17
13/03/2020,1.04
12/03/2020,1.06
11/03/2020,1.17
10/03/2020,1.17
9/03/2020,1.17
8/03/2020,1.06
7/03/2020,0.94
6/03/2020,0.92
5/03/2020,0.86
4/03/2020,0.83
3/03/2020,0.83
2/03/2020,0.94
1/03/2020,0.99
28/02/2020,1.06
27/02/2020,1.17
26/02/2020,1.28
25/02/2020,1.28
24/02/2020,1.36
23/02/2020,1.32
22/02/2020,1.28
21/02/2020,1.39
20/02/2020,1.44
19/02/2020,0.81
18/02/2020,0.81
17/02/2020,0.83
16/02/2020,0.89
15/02/2020,0.94
14/02/2020,0.92
13/02/2020,0.94
12/02/2020,0.92
11/02/2020,0.92
10/02/2020,0.82
9/02/2020,0.84
8/02/2020,0.86
7/02/2020,0.83
6/02/2020,0.89
5/02/2020,1.03
4/02/2020,1.03
3/02/2020,1
2/02/2020,1.03
1/02/2020,1.06
31/01/2020,1
30/01/2020,1.06
29/01/2020,1.17
28/01/2020,1.17
27/01/2020,1.17
26/01/2020,1.13
25/01/2020,1.19
24/01/2020,1.19
23/01/2020,1.22
22/01/2020,1.28
21/01/2020,1.28
20/01/2020,1.28
19/01/2020,1.28
18/01/2020,1.28
17/01/2020,1.28
16/01/2020,1.28
15/01/2020,1.39
14/01/2020,1.39
13/01/2020,1.39
12/01/2020,1.4
11/01/2020,1.42
10/01/2020,1.42
9/01/2020,1.47
8/01/2020,1.47
7/01/2020,1.47
6/01/2020,1.64
5/01/2020,1.64
4/01/2020,1.64
3/01/2020,1.64
2/01/2020,1.61
1/01/2020,1.94